,period,year,month,county,code,cases_under_5yo,cases_over_5yo,total_cases,temp,rainfall,month_code,county_code
0,22-Jan,2022,Jan,Baringo,KE_County_30,663,1975,2638,18,96.54,1,30
1,22-Feb,2022,Feb,Baringo,KE_County_30,805,1759,2564,19,45.28,2,30
2,22-Mar,2022,Mar,Baringo,KE_County_30,762,1370,2132,20,77.64,3,30
3,22-Apr,2022,Apr,Baringo,KE_County_30,597,1146,1743,19,261.67,4,30
4,22-May,2022,May,Baringo,KE_County_30,725,1700,2425,17,169.35,5,30
5,22-Jun,2022,Jun,Baringo,KE_County_30,1044,2309,3353,16,198.07,6,30
6,22-Jul,2022,Jul,Baringo,KE_County_30,753,1846,2599,16,254.24,7,30
7,22-Aug,2022,Aug,Baringo,KE_County_30,920,1892,2812,15,413.87,8,30
8,22-Sep,2022,Sep,Baringo,KE_County_30,872,2177,3049,17,244.68,9,30
9,22-Oct,2022,Oct,Baringo,KE_County_30,1363,3072,4435,17,89.45,10,30
10,22-Nov,2022,Nov,Baringo,KE_County_30,831,1822,2653,17,61.76,11,30
11,22-Dec,2022,Dec,Baringo,KE_County_30,844,1470,2314,18,45.3,12,30
12,23-Jan,2023,Jan,Baringo,KE_County_30,885,1337,2222,18,0.6,1,30
13,23-Feb,2023,Feb,Baringo,KE_County_30,480,1591,2071,20,0.43,2,30
14,23-Mar,2023,Mar,Baringo,KE_County_30,745,1765,2510,19,234.32,3,30
15,23-Apr,2023,Apr,Baringo,KE_County_30,717,1732,2449,18,385.9,4,30
16,23-May,2023,May,Baringo,KE_County_30,908,2429,3337,17,160.9,5,30
17,23-Jun,2023,Jun,Baringo,KE_County_30,947,2282,3229,17,291.75,6,30
18,23-Jul,2023,Jul,Baringo,KE_County_30,905,2121,3026,16,190.4,7,30
19,23-Aug,2023,Aug,Baringo,KE_County_30,791,1691,2482,17,232.95,8,30
20,23-Sep,2023,Sep,Baringo,KE_County_30,554,1204,1758,17,239.38,9,30
21,23-Oct,2023,Oct,Baringo,KE_County_30,547,1494,2041,18,174.29,10,30
22,23-Nov,2023,Nov,Baringo,KE_County_30,560,1156,1716,17,231.31,11,30
23,23-Dec,2023,Dec,Baringo,KE_County_30,614,1659,2273,18,53.84,12,30
